               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075287,            0.017312,             0.05805,             0.26002,             0.57767,              0.3243,              0.1491,            0.040665,           0.0062221,            0.049276,            0.070107,           0.0033214,           0.0033214
                   1,            0.047551,            0.013798,            0.045776,             0.53535,             0.66599,              0.6493,             0.33974,            0.036701,           0.0045187,            0.028351,            0.039448,           0.0059959,           0.0059959
                   2,            0.044003,            0.011915,            0.030743,             0.78008,             0.90309,             0.89357,              0.5242,            0.031965,           0.0037624,            0.013512,           0.0081295,           0.0080105,           0.0080105
                   3,            0.038623,            0.011182,            0.021822,              0.9341,             0.92956,              0.9674,             0.63365,            0.027523,           0.0034537,             0.00766,             0.00703,             0.00703,             0.00703
                   4,            0.036069,            0.010679,            0.018184,             0.91513,             0.80632,             0.88995,              0.5297,            0.032918,           0.0044282,           0.0089317,             0.00703,             0.00703,             0.00703
                   5,            0.032941,            0.010335,            0.015966,             0.97101,              0.9778,             0.98787,             0.68347,            0.023644,           0.0032744,           0.0044212,             0.00604,             0.00604,             0.00604
                   6,             0.03059,           0.0098613,            0.014097,             0.99021,              0.9856,             0.99283,             0.70689,            0.022986,           0.0031296,           0.0027252,             0.00505,             0.00505,             0.00505
                   7,            0.028728,           0.0093529,            0.012302,             0.98353,             0.98406,             0.99248,             0.69996,            0.022691,           0.0030787,           0.0026045,             0.00406,             0.00406,             0.00406
                   8,             0.02739,           0.0091924,            0.011196,             0.99144,             0.99275,             0.99329,             0.72373,            0.021634,           0.0030237,           0.0019895,             0.00307,             0.00307,             0.00307
                   9,            0.025674,           0.0089412,            0.010178,              0.9924,             0.99697,             0.99476,             0.74566,            0.020001,            0.002889,            0.001248,             0.00208,             0.00208,             0.00208
