               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069546,            0.017492,            0.055857,             0.45598,             0.64759,             0.51693,             0.24106,            0.039532,           0.0058365,            0.040799,            0.070107,           0.0033214,           0.0033214
                   1,            0.046566,            0.012645,            0.036852,             0.66449,             0.91761,             0.83341,             0.48705,            0.033896,           0.0039872,            0.015491,            0.040041,           0.0065889,           0.0065889
                   2,            0.043227,            0.011096,            0.023018,             0.75875,             0.81869,              0.8212,             0.49431,            0.034899,            0.004573,            0.015598,           0.0099094,           0.0097903,           0.0097903
                   3,             0.03898,             0.01092,            0.019963,             0.94913,             0.94529,             0.97823,             0.63581,            0.029308,           0.0036606,           0.0067407,            0.009703,            0.009703,            0.009703
                   4,            0.035946,            0.010561,            0.017586,             0.91429,             0.83778,             0.88421,             0.54348,            0.032457,           0.0045449,           0.0096109,            0.009703,            0.009703,            0.009703
                   5,             0.03376,            0.010323,            0.016354,             0.98163,             0.97823,             0.99005,             0.68722,            0.024127,           0.0032409,           0.0034565,            0.009604,            0.009604,            0.009604
                   6,            0.032437,           0.0099944,            0.015168,             0.98578,             0.98239,             0.99051,             0.69578,             0.02516,            0.003198,           0.0033228,            0.009505,            0.009505,            0.009505
                   7,            0.031505,           0.0097759,            0.014298,             0.94169,             0.95774,             0.97994,             0.66107,             0.02628,           0.0034458,           0.0050569,            0.009406,            0.009406,            0.009406
                   8,            0.030765,           0.0096027,            0.013904,             0.98828,             0.99362,             0.99435,              0.7064,            0.022618,            0.003123,            0.002433,            0.009307,            0.009307,            0.009307
                   9,            0.030085,           0.0095324,            0.012967,             0.99078,             0.98291,             0.99268,             0.69758,            0.023206,           0.0031589,           0.0025176,            0.009208,            0.009208,            0.009208
                  10,            0.029707,           0.0094611,            0.012287,             0.97926,             0.97689,             0.98647,             0.71272,             0.02219,           0.0031473,           0.0035136,            0.009109,            0.009109,            0.009109
                  11,            0.028584,           0.0092379,            0.011466,             0.99098,             0.99248,             0.99336,             0.72262,            0.021214,           0.0029394,           0.0021125,             0.00901,             0.00901,             0.00901
                  12,            0.028016,            0.009074,            0.011156,             0.95158,             0.94813,             0.97499,             0.69014,            0.023953,           0.0034496,           0.0045001,            0.008911,            0.008911,            0.008911
                  13,            0.027623,           0.0090686,            0.010403,             0.99072,             0.99582,             0.99484,             0.73965,            0.021231,           0.0029141,           0.0015342,            0.008812,            0.008812,            0.008812
                  14,            0.027148,           0.0089125,            0.010138,             0.97693,             0.97722,             0.99124,              0.7119,            0.021554,           0.0031332,           0.0021575,            0.008713,            0.008713,            0.008713
                  15,            0.026845,            0.008852,           0.0096932,             0.99004,             0.98752,             0.99287,             0.74406,            0.020009,           0.0029338,           0.0017594,            0.008614,            0.008614,            0.008614
                  16,            0.026463,           0.0087758,           0.0093831,             0.99215,             0.99429,             0.99472,             0.73635,            0.020361,           0.0029108,           0.0013265,            0.008515,            0.008515,            0.008515
                  17,            0.026247,           0.0088013,           0.0092954,             0.99614,             0.99537,             0.99499,             0.75643,            0.019686,           0.0027987,           0.0012338,            0.008416,            0.008416,            0.008416
                  18,            0.025765,           0.0085785,           0.0090622,             0.99549,             0.99839,             0.99497,             0.76103,            0.019246,           0.0028167,           0.0010279,            0.008317,            0.008317,            0.008317
                  19,            0.025461,           0.0084568,           0.0089877,             0.99443,             0.99607,             0.99415,             0.74671,            0.019481,           0.0028351,           0.0011224,            0.008218,            0.008218,            0.008218
                  20,            0.025352,           0.0084742,           0.0089767,             0.99817,             0.99753,               0.995,             0.76096,            0.019459,             0.00277,           0.0010578,            0.008119,            0.008119,            0.008119
                  21,            0.025327,           0.0084609,           0.0089131,             0.99774,             0.99779,             0.99496,             0.76318,            0.019056,           0.0027701,           0.0010912,             0.00802,             0.00802,             0.00802
                  22,            0.024798,           0.0083201,           0.0077201,              0.9973,              0.9986,             0.99468,             0.75793,            0.019007,           0.0027508,          0.00094094,            0.007921,            0.007921,            0.007921
                  23,            0.024254,           0.0082537,            0.007751,             0.99892,             0.99757,               0.995,             0.75472,            0.019307,           0.0027411,          0.00083508,            0.007822,            0.007822,            0.007822
                  24,            0.024311,           0.0083112,           0.0080303,             0.99526,             0.99681,             0.99497,             0.76612,            0.018911,            0.002747,           0.0011758,            0.007723,            0.007723,            0.007723
                  25,            0.024092,           0.0082172,           0.0078886,             0.99461,             0.99787,             0.99495,             0.77153,            0.018472,           0.0027042,          0.00092462,            0.007624,            0.007624,            0.007624
                  26,            0.023832,           0.0081333,           0.0073936,             0.99628,                   1,               0.995,             0.76365,            0.018801,           0.0026898,          0.00065887,            0.007525,            0.007525,            0.007525
                  27,            0.023748,           0.0081042,           0.0071773,             0.99788,             0.99863,             0.99499,             0.76642,            0.018417,           0.0027154,          0.00075087,            0.007426,            0.007426,            0.007426
                  28,            0.023536,           0.0081728,           0.0071804,             0.99704,              0.9985,             0.99499,             0.76646,            0.018311,           0.0027041,          0.00098593,            0.007327,            0.007327,            0.007327
                  29,            0.023227,           0.0080155,           0.0071744,             0.99455,             0.99532,             0.99192,             0.76508,            0.018445,           0.0026939,          0.00094459,            0.007228,            0.007228,            0.007228
                  30,            0.023533,           0.0081151,           0.0070355,             0.99792,             0.99931,               0.995,             0.77297,            0.018281,           0.0026753,          0.00059038,            0.007129,            0.007129,            0.007129
                  31,            0.023117,            0.008059,           0.0069907,             0.99815,             0.99754,             0.99467,             0.77141,            0.018008,           0.0027105,          0.00064641,             0.00703,             0.00703,             0.00703
                  32,             0.02283,           0.0079413,           0.0066536,             0.99677,             0.99781,             0.99496,             0.76701,            0.018589,           0.0026898,           0.0006966,            0.006931,            0.006931,            0.006931
